,Varitional Energy
0,0.5033333333333334
1,0.5089655172413793
2,0.5145977011494253
3,0.5202186358267513
4,0.5258305028756937
5,0.5314333503099801
6,0.5370272267305939
7,0.5426092410190584
8,0.5481816161557325
9,0.5537451045635119
10,0.5592994988417899
11,0.5648432642608198
12,0.5703745881475554
13,0.5758944256370504
14,0.5814028742484633
15,0.5868997295300458
16,0.5923848216633989
17,0.5978580087442403
18,0.6033191711112394
19,0.608768217443263
20,0.6142050511923435
21,0.619629605708096
22,0.6250418270524876
23,0.6304416497134679
24,0.6358290274063165
25,0.6412039431450004
26,0.6465663406108053
27,0.6519162035261659
28,0.6572534887813668
29,0.6625781998017564
